operacao,custo,total,media
456,635,277953,609.546052631579
457,675,278628,609.6892778993436
458,2,278630,608.3624454148471
459,630,279260,608.4095860566449
460,652,279912,608.5043478260869
461,677,280589,608.6529284164859
462,2,280591,607.3398268398269
463,631,281222,607.390928725702
464,630,281852,607.4396551724138
465,659,282511,607.5505376344086
466,2,282513,606.2510729613734
467,631,283144,606.3040685224839
468,632,283776,606.3589743589744
469,638,284414,606.4264392324094
470,631,285045,606.4787234042553
471,2,285047,605.1953290870488
472,633,285680,605.2542372881356
473,630,286310,605.3065539112051
474,630,286940,605.3586497890295
475,660,287600,605.4736842105264
476,630,288230,605.5252100840336
477,653,288883,605.6247379454927
478,632,289515,605.6799163179917
479,631,290146,605.7327766179541
480,653,290799,605.83125
481,631,291430,605.8835758835759
482,630,292060,605.9336099585062
483,639,292699,606.0020703933748
484,643,293342,606.0785123966942
485,2,293344,604.8329896907217
486,2,293346,603.5925925925926
487,643,293989,603.6735112936345
488,631,294620,603.7295081967213
489,631,295251,603.7852760736197
490,684,295935,603.9489795918367
491,2,295937,602.7230142566192
492,630,296567,602.7784552845528
493,632,297199,602.8377281947262
494,685,297884,603.004048582996
495,631,298515,603.060606060606
496,631,299146,603.116935483871
497,630,299776,603.1710261569416
498,630,300406,603.2248995983936
499,2,300408,602.0200400801604
500,633,301041,602.082
501,686,301727,602.249500998004
502,657,302384,602.3585657370518
503,631,303015,602.4155069582505
504,631,303646,602.4722222222222
505,653,304299,602.5722772277228
506,642,304941,602.6501976284585
507,2,304943,601.465483234714
508,636,305579,601.5334645669292
509,643,306222,601.6149312377211
510,633,306855,601.6764705882352
511,633,307488,601.7377690802348
512,2,307490,600.56640625
513,632,308122,600.6276803118908
514,701,308823,600.8229571984435
515,637,309460,600.8932038834952
516,2,309462,599.7325581395348
517,637,310099,599.8046421663443
518,2,310101,598.6505791505791
519,630,310731,598.7109826589596
520,632,311363,598.775
521,631,311994,598.8368522072936
522,630,312624,598.8965517241379
523,630,313254,598.9560229445507
524,630,313884,599.0152671755725
525,631,314515,599.0761904761905
526,632,315147,599.138783269962
527,2,315149,598.0056925996205
528,630,315779,598.0662878787879
529,641,316420,598.1474480151229
530,2,316422,597.0226415094339
531,630,317052,597.0847457627119
532,656,317708,597.1954887218045
533,630,318338,597.2570356472795
534,644,318982,597.3445692883895
535,634,319616,597.4130841121495
536,630,320246,597.473880597015
537,679,320925,597.6256983240223
538,632,321557,597.6895910780669
539,630,322187,597.7495361781076
540,719,322906,597.9740740740741
541,2,322908,596.8724584103512
542,2,322910,595.7749077490774
543,797,323707,596.1454880294659
544,2,323709,595.0533088235294
545,2,323711,593.965137614679
546,630,324341,594.0311355311355
547,2,324343,592.9488117001828
548,633,324976,593.021897810219
549,639,325615,593.1056466302368
550,636,326251,593.1836363636363
551,632,326883,593.2540834845735
552,631,327514,593.322463768116
553,682,328196,593.4828209764919
554,804,329000,593.8628158844765
555,695,329695,594.0450450450451
556,630,330325,594.1097122302158
557,688,331013,594.278276481149
558,709,331722,594.483870967742
559,2,331724,593.4239713774598
560,2,331726,592.3678571428571
561,660,332386,592.4884135472371
562,2,332388,591.4377224199288
563,2,332390,590.3907637655417
564,874,333264,590.8936170212766
565,2,333266,589.8513274336283
566,2,333268,588.8127208480565
567,630,333898,588.8853615520283
568,2,333900,587.8521126760563
569,630,334530,587.9261862917399
570,2,334532,586.8982456140351
571,2,334534,585.8739054290718
572,2,334536,584.8531468531469
573,631,335167,584.933682373473
574,2,335169,583.9181184668989
575,635,335804,584.0069565217391
576,876,336680,584.5138888888889
577,885,337565,585.0346620450607
578,2,337567,584.0259515570934
579,630,338197,584.1053540587219
580,2,338199,583.101724137931
581,736,338935,583.3648881239243
582,630,339565,583.4450171821305
583,2,339567,582.4476843910807
584,630,340197,582.5291095890411
585,2,340199,581.5367521367522
586,2,340201,580.5477815699659
587,2,340203,579.5621805792164
588,907,341110,580.1190476190476
589,630,341740,580.2037351443124
590,630,342370,580.2881355932203
591,641,343011,580.3908629441624
592,908,343919,580.9442567567568
593,630,344549,581.026981450253
594,2,344551,580.0521885521886
595,738,345289,580.3176470588236
596,1019,346308,581.0536912751678
597,630,346938,581.1356783919598
598,2,346940,580.1672240802676
599,1020,347960,580.9015025041737
600,2,347962,579.9366666666666
601,1021,348983,580.6705490848585
602,2,348985,579.7093023255813
603,2,348987,578.7512437810946
604,630,349617,578.8360927152318
605,2,349619,577.8826446280992
606,633,350252,577.973597359736
607,2,350254,577.0247116968699
608,1027,351281,577.764802631579
609,2,351283,576.8193760262726
610,1028,352311,577.5590163934427
611,1029,353340,578.2978723404256
612,640,353980,578.3986928104575
613,1030,355010,579.1353996737357
614,2,355012,578.1954397394137
615,2,355014,577.2585365853658
616,1031,356045,577.9951298701299
617,2,356047,577.061588330632
618,632,356679,577.1504854368932
619,634,357313,577.2423263327948
620,648,357961,577.3564516129032
621,2,357963,576.4299516908212
622,2,357965,575.5064308681672
623,630,358595,575.5939004815409
624,2,358597,574.6746794871794
625,1032,359629,575.4064
626,2,359631,574.4904153354632
627,2,359633,573.5773524720893
628,2,359635,572.6671974522293
629,2,359637,571.7599364069953
630,2,359639,570.8555555555556
631,2,359641,569.9540412044374
632,630,360271,570.0490506329114
633,1033,361304,570.7804107424961
634,1034,362338,571.5110410094637
635,630,362968,571.6031496062992
636,1035,364003,572.3317610062893
637,2,364005,571.436420722135
638,1036,365041,572.1645768025078
639,2,365043,571.2723004694835
640,630,365673,571.3640625
641,2,365675,570.4758190327614
642,1038,366713,571.2040498442368
